skills,count,domain
Sql,384,ASP .NET MVC
System Design,322,ASP .NET MVC
Database,316,ASP .NET MVC
.net,314,ASP .NET MVC
Javascript,309,ASP .NET MVC
C#,298,ASP .NET MVC
Visual Studio,294,ASP .NET MVC
Html,291,ASP .NET MVC
Testing,249,ASP .NET MVC
Css,245,ASP .NET MVC
Api,241,ASP .NET MVC
Asp,190,ASP .NET MVC
Reports,160,ASP .NET MVC
Tfs,141,ASP .NET MVC
Agile Writing,138,ASP .NET MVC
Ui,130,ASP .NET MVC
Java,126,ASP .NET MVC
Xml,112,ASP .NET MVC
Architecture models,100,ASP .NET MVC
Js,96,ASP .NET MVC
Web services,92,ASP .NET MVC
Website Automation,88,ASP .NET MVC
Automation,81,ASP .NET MVC
Oracle,79,ASP .NET MVC
Scrum,78,ASP .NET MVC
Json,77,ASP .NET MVC
Excel,76,ASP .NET MVC
Html5,75,ASP .NET MVC
Debugging,74,ASP .NET MVC
Sdlc,72,ASP .NET MVC
Technical System Design,355,Blockchain
Java,327,Blockchain
Cloud,306,Blockchain
Api,270,Blockchain
Database,254,Blockchain
Oracle,248,Blockchain
Testing,247,Blockchain
System Analysis,243,Blockchain
Agile,241,Blockchain
Sql,241,Blockchain
Aws,236,Blockchain
Rest,229,Blockchain
Architecture Design,227,Blockchain
Docker,214,Blockchain
Security,207,Blockchain
Javascript,197,Blockchain
Programming,187,Blockchain
Mysql,185,Blockchain
Automation,184,Blockchain
IBM Blockchain,181,Blockchain
Html,174,Blockchain
Python,173,Blockchain
Ui,170,Blockchain
Linux,156,Blockchain
Banking Operations,154,Blockchain
Js,141,Blockchain
Css,140,Blockchain
Xml,127,Blockchain
Reports,126,Blockchain
Migration,123,Blockchain
Analytics,360,Consultant
Technical Consulting,355,Consultant
Design,334,Consultant
Java,327,Consultant
System,322,Consultant
Cloud,306,Consultant
Api,270,Consultant
Workflow Process,267,Consultant
Engineering Process,257,Consultant
Database,254,Consultant
Oracle,248,Consultant
Testing,247,Consultant
Sql,241,Consultant
Agile,241,Consultant
Aws,236,Consultant
Rest,229,Consultant
Architecture Designing,227,Consultant
Docker,214,Consultant
Security,207,Consultant
Communication,200,Consultant
Javascript,197,Consultant
Programming,187,Consultant
Mysql,185,Consultant
Automation,184,Consultant
IBM GBS,181,Consultant
Html,174,Consultant
Python,173,Consultant
Ui,170,Consultant
Email communications,161,Consultant
Training,155,Consultant
Banking Process,154,Consultant
Javascript,368,FULL STACK
Css,291,FULL STACK
Html,285,FULL STACK
